0, 0
1, 0
2, 1
3, 100
0, 1
1, 2
2, 0
3, 0
4, 2
5, 100
0, 0
1, 7
2, 2
3, 100
0, 0
1, 4
2, 2
3, 100
0, 2
1, 1
2, 1
3, 2
4, 100
0, 0
1, 0
2, 1
3, 100
0, 1
1, 100
0, 1
1, 0
2, 0
3, 3
4, 7
5, 100
0, 1
1, 0
2, 3
3, 13
4, 100
0, 2
1, 0
2, 4
3, 23
4, 100
0, 0
1, 0
2, 3
3, 2
4, 3
5, 11
6, 100
0, 1
1, 1
2, 15
3, 2
4, 100
0, 0
1, 0
2, 4
3, 100
0, 0
1, 3
2, 0
3, 4
4, 100
0, 0
1, 0
2, 0
3, 0
4, 1
5, 3
6, 3
7, 100
0, 2
1, 3
2, 2
3, 3
4, 6
5, 100
0, 1
1, 1
2, 1
3, 0
4, 100
0, 2
1, 1
2, 3
3, 100
0, 0
1, 13
2, 100
0, 1
1, 2
2, 0
3, 1
4, 100
0, 0
1, 0
2, 1
3, 2
4, 1
5, 100
0, 20
1, 100
0, 0
1, 4
2, 100
0, 1
1, 2
2, 2
3, 0
4, 100
0, 2
1, 100
0, 1
1, 9
2, 4
3, 100
0, 0
1, 0
2, 0
3, 1
4, 0
5, 1
6, 100
0, 4
1, 0
2, 3
3, 0
4, 100
0, 0
1, 0
2, 0
3, 14
4, 100
0, 0
1, 0
2, 0
3, 100
0, 4
1, 1
2, 0
3, 1
4, 100
0, 2
1, 2
2, 0
3, 0
4, 10
5, 100
0, 1
1, 1
2, 1
3, 100
0, 0
1, 0
2, 2
3, 2
4, 1
5, 100
0, 3
1, 0
2, 0
3, 3
4, 0
5, 100
0, 7
1, 1
2, 1
3, 100
0, 1
1, 0
2, 3
3, 6
4, 100
0, 0
1, 0
2, 5
3, 0
4, 100
0, 0
1, 0
2, 0
3, 100
0, 1
1, 1
2, 8
3, 100
0, 0
1, 1
2, 100
0, 6
1, 100
0, 0
1, 0
2, 0
3, 1
4, 4
5, 0
6, 100
0, 0
1, 1
2, 7
3, 100
0, 0
1, 0
2, 1
3, 1
4, 8
5, 1
6, 100
0, 2
1, 100
0, 1
1, 11
2, 7
3, 100
0, 0
1, 0
2, 100
0, 0
1, 100
0, 0
1, 8
2, 100
0, 1
1, 2
2, 1
3, 1
4, 100
0, 1
1, 0
2, 5
3, 100
0, 0
1, 1
2, 1
3, 1
4, 13
5, 100
0, 1
1, 3
2, 100
0, 0
1, 0
2, 1
3, 6
4, 3
5, 100
0, 0
1, 0
2, 0
3, 1
4, 4
5, 1
6, 6
7, 100
0, 4
1, 100
0, 0
1, 0
2, 0
3, 14
4, 4
5, 100
0, 0
1, 4
2, 0
3, 100
0, 2
1, 8
2, 7
3, 100
0, 3
1, 100
0, 6
1, 100
0, 6
1, 100
0, 1
1, 11
2, 11
3, 100
0, 0
1, 5
2, 1
3, 100
0, 0
1, 2
2, 2
3, 0
4, 5
5, 100
0, 2
1, 0
2, 2
3, 100
0, 0
1, 0
2, 0
3, 4
4, 1
5, 100
0, 0
1, 1
2, 1
3, 13
4, 100
0, 0
1, 0
2, 1
3, 0
4, 0
5, 100
0, 0
1, 9
2, 10
3, 100
0, 4
1, 1
2, 1
3, 0
4, 5
5, 100
0, 2
1, 1
2, 1
3, 100
0, 0
1, 100
0, 0
1, 4
2, 0
3, 1
4, 5
5, 100
0, 1
1, 1
2, 4
3, 100
0, 1
1, 1
2, 2
3, 100
0, 1
1, 3
2, 2
3, 100
0, 0
1, 0
2, 1
3, 0
4, 0
5, 7
6, 100
0, 3
1, 1
2, 7
3, 100
0, 7
1, 100
0, 1
1, 1
2, 3
3, 4
4, 100
0, 1
1, 1
2, 3
3, 1
4, 100
0, 0
1, 1
2, 100
0, 0
1, 1
2, 5
3, 3
4, 100
0, 3
1, 3
2, 100
0, 1
1, 0
2, 2
3, 5
4, 100
0, 1
1, 4
2, 6
3, 100
0, 13
1, 100
0, 0
1, 0
2, 100
0, 0
1, 1
2, 15
3, 100
0, 100
0, 2
1, 2
2, 8
3, 100
0, 0
1, 2
2, 8
3, 100
0, 0
1, 0
2, 6
3, 100
0, 0
1, 0
2, 2
3, 0
4, 1
5, 10
6, 100
0, 0
1, 0
2, 1
3, 4
4, 100
0, 0
1, 3
2, 0
3, 8
4, 100
0, 2
1, 1
2, 1
3, 100
0, 0
1, 1
2, 100
