0, 0
1, 1
2, 1
3, 3
4, 0
5, 0
6, 1
7, 5
8, 1
9, 56
10, 22
11, 100
0, 0
1, 8
2, 100
0, 2
1, 0
2, 2
3, 30
4, 18
5, 100
0, 0
1, 2
2, 1
3, 4
4, 98
5, 100
0, 3
1, 0
2, 1
3, 13
4, 19
5, 100
0, 1
1, 0
2, 0
3, 14
4, 33
5, 100
0, 0
1, 0
2, 1
3, 1
4, 2
5, 100
0, 4
1, 4
2, 6
3, 1
4, 24
5, 100
0, 2
1, 0
2, 100
0, 0
1, 0
2, 0
3, 0
4, 2
5, 2
6, 4
7, 17
8, 100
0, 0
1, 1
2, 0
3, 0
4, 29
5, 100
0, 57
1, 14
2, 100
0, 2
1, 0
2, 3
3, 0
4, 22
5, 100
0, 0
1, 1
2, 0
3, 4
4, 0
5, 3
6, 2
7, 28
8, 100
0, 1
1, 0
2, 0
3, 1
4, 2
5, 100
0, 1
1, 6
2, 2
3, 2
4, 61
5, 100
0, 0
1, 6
2, 5
3, 42
4, 37
5, 100
0, 4
1, 5
2, 100
0, 0
1, 0
2, 0
3, 0
4, 3
5, 100
0, 3
1, 2
2, 100
0, 4
1, 2
2, 0
3, 9
4, 0
5, 100
0, 0
1, 0
2, 0
3, 2
4, 3
5, 100
0, 0
1, 1
2, 2
3, 4
4, 1
5, 3
6, 0
7, 19
8, 100
0, 6
1, 0
2, 100
0, 2
1, 0
2, 4
3, 2
4, 26
5, 100
0, 0
1, 1
2, 0
3, 6
4, 81
5, 100
0, 0
1, 0
2, 0
3, 3
4, 3
5, 100
0, 1
1, 0
2, 0
3, 2
4, 100
0, 7
1, 0
2, 100
0, 1
1, 1
2, 2
3, 11
4, 4
5, 100
0, 0
1, 0
2, 0
3, 6
4, 100
0, 1
1, 0
2, 0
3, 3
4, 7
5, 100
0, 0
1, 1
2, 0
3, 4
4, 2
5, 100
0, 1
1, 0
2, 1
3, 10
4, 0
5, 100
0, 0
1, 0
2, 0
3, 1
4, 7
5, 100
0, 0
1, 0
2, 5
3, 6
4, 2
5, 100
0, 1
1, 38
2, 100
0, 0
1, 1
2, 0
3, 0
4, 1
5, 0
6, 5
7, 2
8, 100
0, 0
1, 0
2, 5
3, 13
4, 6
5, 100
0, 2
1, 0
2, 0
3, 22
4, 100
0, 2
1, 0
2, 13
3, 20
4, 49
5, 100
0, 49
1, 96
2, 100
0, 0
1, 3
2, 100
0, 2
1, 0
2, 0
3, 29
4, 94
5, 100
0, 2
1, 56
2, 100
0, 0
1, 1
2, 1
3, 0
4, 6
5, 7
6, 35
7, 6
8, 100
0, 1
1, 0
2, 100
0, 0
1, 7
2, 0
3, 34
4, 20
5, 100
0, 1
1, 1
2, 1
3, 4
4, 57
5, 100
0, 0
1, 1
2, 14
3, 0
4, 9
5, 100
0, 22
1, 48
2, 100
0, 0
1, 0
2, 1
3, 0
4, 9
5, 100
0, 1
1, 0
2, 2
3, 20
4, 10
5, 100
0, 0
1, 0
2, 13
3, 1
4, 24
5, 100
0, 1
1, 0
2, 1
3, 0
4, 46
5, 100
0, 0
1, 0
2, 1
3, 1
4, 2
5, 100
0, 1
1, 0
2, 100
0, 0
1, 3
2, 3
3, 7
4, 21
5, 100
0, 2
1, 0
2, 0
3, 2
4, 2
5, 100
0, 0
1, 0
2, 6
3, 13
4, 100
0, 4
1, 10
2, 100
0, 4
1, 2
2, 0
3, 0
4, 0
5, 0
6, 23
7, 49
8, 100
0, 0
1, 1
2, 0
3, 1
4, 2
5, 2
6, 7
7, 5
8, 100
0, 0
1, 0
2, 100
0, 0
1, 1
2, 3
3, 6
4, 11
5, 100
0, 0
1, 4
2, 3
3, 4
4, 31
5, 100
0, 0
1, 0
2, 1
3, 0
4, 0
5, 100
0, 4
1, 0
2, 4
3, 4
4, 70
5, 100
0, 0
1, 2
2, 0
3, 5
4, 9
5, 100
0, 0
1, 10
2, 0
3, 3
4, 7
5, 100
0, 4
1, 2
2, 3
3, 29
4, 40
5, 100
0, 1
1, 0
2, 1
3, 5
4, 13
5, 100
0, 1
1, 0
2, 6
3, 10
4, 3
5, 100
0, 0
1, 6
2, 0
3, 31
4, 52
5, 100
0, 2
1, 2
2, 4
3, 19
4, 41
5, 100
0, 26
1, 87
2, 100
0, 3
1, 8
2, 4
3, 2
4, 50
5, 100
0, 1
1, 0
2, 1
3, 2
4, 0
5, 1
6, 24
7, 37
8, 100
0, 4
1, 34
2, 100
0, 0
1, 0
2, 4
3, 7
4, 0
5, 100
0, 0
1, 1
2, 2
3, 5
4, 3
5, 100
0, 3
1, 0
2, 3
3, 15
4, 28
5, 100
0, 0
1, 3
2, 10
3, 61
4, 12
5, 100
0, 0
1, 0
2, 100
0, 4
1, 0
2, 100
0, 2
1, 3
2, 6
3, 1
4, 4
5, 100
0, 0
1, 0
2, 2
3, 0
4, 0
5, 5
6, 9
7, 1
8, 100
0, 2
1, 12
2, 100
0, 2
1, 0
2, 14
3, 1
4, 38
5, 100
0, 0
1, 5
2, 1
3, 22
4, 17
5, 100
0, 3
1, 2
2, 1
3, 11
4, 31
5, 100
0, 1
1, 1
2, 4
3, 1
4, 26
5, 100
0, 1
1, 0
2, 100
0, 1
1, 0
2, 0
3, 1
4, 2
5, 100
0, 0
1, 5
2, 14
3, 44
4, 69
5, 100
0, 0
1, 2
2, 0
3, 6
4, 75
5, 100
0, 4
1, 4
2, 0
3, 25
4, 2
5, 100
0, 1
1, 4
2, 1
3, 2
4, 1
5, 100
0, 0
1, 15
2, 7
3, 2
4, 25
5, 100
0, 0
1, 1
2, 4
3, 37
4, 88
5, 100
