0, 0
1, 0
2, 3
3, 0
4, 6
5, 1
6, 4
7, 100
0, 0
1, 1
2, 1
3, 100
0, 4
1, 100
0, 2
1, 0
2, 100
0, 1
1, 2
2, 2
3, 100
0, 0
1, 0
2, 0
3, 0
4, 1
5, 2
6, 100
0, 2
1, 0
2, 100
0, 1
1, 3
2, 100
0, 1
1, 0
2, 20
3, 100
0, 0
1, 0
2, 0
3, 1
4, 0
5, 1
6, 100
0, 6
1, 1
2, 2
3, 100
0, 0
1, 0
2, 0
3, 100
0, 2
1, 0
2, 3
3, 11
4, 1
5, 100
0, 3
1, 2
2, 5
3, 100
0, 0
1, 2
2, 4
3, 100
0, 4
1, 1
2, 2
3, 8
4, 5
5, 100
0, 3
1, 100
0, 0
1, 6
2, 6
3, 4
4, 100
0, 0
1, 0
2, 3
3, 0
4, 100
0, 0
1, 14
2, 100
0, 100
0, 0
1, 0
2, 4
3, 2
4, 0
5, 100
0, 0
1, 1
2, 100
0, 1
1, 8
2, 2
3, 100
0, 3
1, 0
2, 0
3, 100
0, 3
1, 2
2, 0
3, 3
4, 100
0, 4
1, 9
2, 100
0, 3
1, 2
2, 0
3, 100
0, 0
1, 0
2, 1
3, 4
4, 100
0, 0
1, 10
2, 2
3, 100
0, 2
1, 0
2, 0
3, 100
0, 0
1, 1
2, 3
3, 8
4, 100
0, 2
1, 0
2, 1
3, 4
4, 100
0, 0
1, 0
2, 3
3, 0
4, 100
0, 0
1, 16
2, 3
3, 100
0, 0
1, 0
2, 100
0, 0
1, 5
2, 100
0, 2
1, 0
2, 100
0, 0
1, 1
2, 1
3, 100
0, 1
1, 0
2, 4
3, 100
0, 2
1, 8
2, 20
3, 100
0, 0
1, 0
2, 0
3, 2
4, 100
0, 3
1, 0
2, 12
3, 100
0, 3
1, 3
2, 0
3, 100
0, 0
1, 0
2, 7
3, 100
0, 3
1, 10
2, 1
3, 100
0, 1
1, 0
2, 7
3, 100
0, 2
1, 2
2, 1
3, 100
0, 0
1, 0
2, 0
3, 2
4, 100
0, 4
1, 5
2, 1
3, 100
0, 5
1, 17
2, 100
0, 0
1, 1
2, 0
3, 11
4, 0
5, 100
0, 1
1, 1
2, 2
3, 0
4, 100
0, 1
1, 0
2, 0
3, 1
4, 2
5, 6
6, 100
0, 1
1, 6
2, 100
0, 0
1, 2
2, 1
3, 0
4, 100
0, 0
1, 0
2, 0
3, 2
4, 0
5, 2
6, 100
0, 0
1, 0
2, 100
0, 0
1, 0
2, 2
3, 0
4, 0
5, 0
6, 100
0, 0
1, 10
2, 1
3, 100
0, 3
1, 0
2, 100
0, 0
1, 0
2, 0
3, 0
4, 0
5, 1
6, 100
0, 1
1, 0
2, 100
0, 1
1, 0
2, 0
3, 0
4, 1
5, 100
0, 0
1, 3
2, 9
3, 100
0, 0
1, 0
2, 0
3, 1
4, 9
5, 100
0, 0
1, 0
2, 0
3, 7
4, 4
5, 100
0, 3
1, 100
0, 4
1, 3
2, 0
3, 100
0, 0
1, 0
2, 0
3, 0
4, 3
5, 100
0, 0
1, 0
2, 0
3, 0
4, 11
5, 100
0, 0
1, 1
2, 1
3, 0
4, 0
5, 2
6, 23
7, 100
0, 0
1, 0
2, 7
3, 100
0, 0
1, 6
2, 100
0, 3
1, 100
0, 0
1, 2
2, 100
0, 0
1, 0
2, 1
3, 2
4, 11
5, 100
0, 0
1, 0
2, 1
3, 0
4, 1
5, 100
0, 2
1, 5
2, 3
3, 100
0, 0
1, 0
2, 1
3, 0
4, 2
5, 4
6, 100
0, 0
1, 4
2, 0
3, 100
0, 2
1, 5
2, 2
3, 100
0, 0
1, 1
2, 0
3, 100
0, 1
1, 1
2, 0
3, 3
4, 0
5, 0
6, 100
0, 100
0, 4
1, 1
2, 0
3, 100
0, 1
1, 0
2, 7
3, 100
0, 0
1, 1
2, 2
3, 10
4, 100
0, 1
1, 0
2, 0
3, 1
4, 100
0, 1
1, 4
2, 3
3, 4
4, 100
0, 0
1, 1
2, 1
3, 100
0, 1
1, 0
2, 0
3, 9
4, 100
0, 100
0, 0
1, 0
2, 1
3, 1
4, 2
5, 3
6, 100
0, 0
1, 1
2, 5
3, 2
4, 100
0, 0
1, 2
2, 0
3, 1
4, 1
5, 100
0, 0
1, 0
2, 0
3, 1
4, 2
5, 100
0, 0
1, 6
2, 0
3, 13
4, 100
0, 1
1, 6
2, 6
3, 100
0, 3
1, 0
2, 0
3, 1
4, 0
5, 2
6, 100
